Name,Description
Lockhart & Wiseman’s Crop Husbandry Including Grassland (Ninth Edition),"Agricultural, Biological, and Food Sciences 2014"
"Industrial Wastewater Treatment, Recycling and Reuse",Chemical Engineering 2014
Distillation: Operation and Applications,Chemical Engineering 2014
Colloid and Interface Science in Pharmaceutical Research and Development,Chemical Engineering 2014
Writing Reaction Mechanisms in Organic Chemistry (Third Edition),Chemistry 2014
Cyber Crime and Cyber Terrorism Investigator's Handbook,Computer Science 2014
Understanding Geology Through Maps,Earth and Planetary Sciences 2014
Advanced Power Generation Systems,Energy 2014
Cathodic Corrosion Protection Systems,Energy 2014
Communicating Pictures,Engineering 2014
Hybrid Ship Hulls,Engineering 2014
Handbook of Friction-Vibration Interactions,Engineering 2014
Data Analysis Methods in Physical Oceanography (Third Edition),Environmental Science 2014
Strategies of Banks and Other Financial Institutions,Finance 2014
Natural Hosts of SIV,Immunology and Microbiology 2014
Interleukins in Cancer Biology,Immunology and Microbiology 2014
Carbon Nanotubes and Graphene (Second Edition),Materials Science 2014
"Drugs, Addiction, and the Brain",Neuroscience 2014
Social Anxiety (Third Edition),Psychology 2014
"Cognition, Intelligence, and Achievement",Psychology 2014
Stability of Happiness,Psychology 2014
Hygiene in Food Processing (Second Edition),"Agricultural, Biological, and Food Sciences 2014"
Global Safety of Fresh Produce,"Agricultural, Biological, and Food Sciences 2014"
Decontamination in Hospitals and Healthcare,Biomedical Science and Medicine 2014
Cardiac Regeneration and Repair: Pathology and Therapies,Biomedical Science and Medicine 2014
Cardiac Regeneration and Repair: Biomaterials and Tissue Engineering,Biomedical Science and Medicine 2014
Control of Welding Distortion in Thin-Plate Fabrication,Engineering 2014
Principles of Colour and Appearance Measurement,Engineering 2014
Advances in Filament Yarn Spinning of Textiles and Polymers,Engineering 2014
Underground Pipeline Corrosion,Engineering 2014
Fashion Supply Chain Management Using Radio Frequency Identification @RfidA Technologies,Engineering 2014
Self-Piercing Riveting,Engineering 2014
"Metallic Films for Electronic, Optical and Magnetic Applications",Materials Science 2014
Advances in Ceramic Matrix Composites,Materials Science 2014
Biomedical Imaging,Materials Science 2014
Residual Stresses in Composite Materials,Materials Science 2014
Laser Spectroscopy for Sensing,Materials Science 2014
Chalcogenide Glasses,Materials Science 2014
Nanolithography,Materials Science 2014
Nitride Semiconductor Light-Emitting Diodes (LEDs),Materials Science 2014
Graphene,Materials Science 2014
Natural Fibre Composites,Materials Science 2014
Rapid Prototyping of Biomaterials,Materials Science 2014
Health and Environmental Safety of Nanomaterials,Materials Science 2014
"Chemistry, Manufacture and Applications of Natural Rubber",Materials Science 2014
Smart Polymers and their Applications,Materials Science 2014
Porous Silicon for Biomedical Applications,Materials Science 2014
Semiconducting Silicon Nanowires for Biomedical Applications,Materials Science 2014
Eco-Efficient Construction and Building Materials,Materials Science 2014
Nanostructured Semiconductor Oxides for the Next Generation of Electronics and Functional Devices,Materials Science 2014
New Functional Biomaterials for Medicine and Healthcare,Materials Science 2014
Cancers Gynécologiques Pelviens,Elsevier Masson French Health Sciences Collection 2014
Les thérapies familiales systémiques (4ème édition),Elsevier Masson French Health Sciences Collection 2014
Diabétologie (2ème édition),Elsevier Masson French Health Sciences Collection 2014
L'institution et la violence,Elsevier Masson French Health Sciences Collection 2014
Biotechnology and Plant Breeding,"Agricultural, Biological, and Food Sciences 2014"
Natural and Synthetic Biomedical Polymers,Chemical Engineering 2014
Flow Analysis,Chemistry 2014
Quantitative MRI of the Spinal Cord,Neuroscience 2014
"Foods, Nutrients and Food Ingredients with Authorised Eu Health Claims","Agricultural, Biological, and Food Sciences 2014"
Molecular Diagnostics and Treatment of Pancreatic Cancer,"Biochemistry, Genetics and Molecular Biology 2014"
Platelets and Aspirin-Induced Asthma,Biomedical Science and Medicine 2014
Physical Examination in Cardiovascular Chinese Medicine,Biomedical Science and Medicine 2014
Therapeutic Risk Management of Medicines,Biomedical Science and Medicine 2014
Conformal Prediction for Reliable Machine Learning,Computer Science 2014
"Anthropometry, Apparel Sizing and Design",Engineering 2014
Control and Estimation of Piecewise Affine Systems,Engineering 2014
Principles of Soil and Plant Water Relations (Second Edition),Environmental Science 2014
The Effective Security Officer's Training Manual (Third Edition),"Forensics, Security, and Criminal Justice 2014"
Measures and Metrics in Corporate Security (Second Edition),"Forensics, Security, and Criminal Justice 2014"
Autoantibodies (Third Edition),Immunology and Microbiology 2014
The Machiavellian Librarian,Social Sciences 2014
Échographie en pratique obstétricale (5ème édition),Elsevier Masson French Health Sciences Collection 2014
Water Reclamation and Sustainability,Chemistry 2014
Python Forensics,Computer Science 2014
The Basics of Information Security (Second Edition),Computer Science 2014
Nanotechnology Applications for Clean Water (Second Edition),Engineering 2014
Fundamental Principles of Engineering Nanometrology (Second Edition),Engineering 2014
Transgenic Animal Technology (Third Edition),"Biochemistry, Genetics and Molecular Biology 2014"
Damages on Pumps and Systems,Chemical Engineering 2014
Economics-Driven Software Architecture,Computer Science 2014
Renewable Energy Integration,Energy 2014
Numerical Simulation of Multiphase Reactors with Continuous Liquid Phase,Engineering 2014
Materials Science and Engineering of Carbon: Fundamentals (Second Edition),Engineering 2014
Joint Replacement Technology,Engineering 2014
Chemical Fate and Transport in the Environment (Third Edition),Environmental Science 2014
Tourism Security,"Forensics, Security, and Criminal Justice 2014"
Misleading DNA Evidence,"Forensics, Security, and Criminal Justice 2014"
Personnel Protection: Vehicle Operations and Safety,"Forensics, Security, and Criminal Justice 2014"
Personnel Protection: Threat Assessment Profile,"Forensics, Security, and Criminal Justice 2014"
Smart Security: Practices That Increase Business Profits,"Forensics, Security, and Criminal Justice 2014"
Personnel Protection: Residential Security,"Forensics, Security, and Criminal Justice 2014"
Applied Crime Analysis,"Forensics, Security, and Criminal Justice 2014"
"Race, Gender, and Deviance in Xbox Live","Forensics, Security, and Criminal Justice 2014"
Introductory Immunology,Immunology and Microbiology 2014
Chitin (Second Edition),Materials Science 2014
Fundamentals of Applied Probability and Random Processes (Second Edition),Mathematics 2014
Toxicological Survey of African Medicinal Plants,"Pharmacology, Toxicology and Pharmaceutical Science 2014"
Aplicación de las ciencias psicosociales al ámbito del cuidar,Spanish Medical Collection 2014
El hueso en las enfermedades endocrinas y nutricionales,Spanish Medical Collection 2014
Disaster Communications in a Changing Media World (Second Edition),"Forensics, Security, and Criminal Justice 2014"
Fossil Fungi,"Agricultural, Biological, and Food Sciences 2014"
Emerging Technologies for Food Processing (Second Edition),"Agricultural, Biological, and Food Sciences 2014"
Polymer Green Flame Retardants,Chemical Engineering 2014
My Life in the Golden Age of Chemistry,Chemistry 2014
Bitemporal Data,Computer Science 2014
Time and Relational Theory (Second Edition),Computer Science 2014
Bioimpedance and Bioelectricity Basics (Third Edition),Engineering 2014
Wearable Sensors,Engineering 2014
Product Development (Second Edition),Engineering 2014
"Modelling, Simulation and Control of the Dyeing Process",Engineering 2014
Security for Business Professionals,"Forensics, Security, and Criminal Justice 2014"
Marital Separation and Lethal Domestic Violence,"Forensics, Security, and Criminal Justice 2014"
Textile-Led Design for the Active Ageing Population,Materials Science 2014
High-Performance Embedded Computing (Second Edition),Computer Science 2014
Pragmatic Enterprise Architecture,Computer Science 2014
"Thermal Insulation Handbook for the Oil, Gas, and Petrochemical Industries",Energy 2014
Oil and Gas Corrosion Prevention,Energy 2014
Rehabilitation of Metallic Civil Infrastructure Using Fiber Reinforced Polymer (FRP) Composites,Engineering 2014
Assessing the Environmental Impact of Textiles and the Clothing Supply Chain,Engineering 2014
Microbiology for Surgical Infections,Immunology and Microbiology 2014
The Value of BCG and TNF in Autoimmunity,Immunology and Microbiology 2014
Composite Non-Woven Materials,Materials Science 2014
An Introduction to Measure-Theoretic Probability (Second Edition),Mathematics 2014
The Produce Contamination Problem (Second Edition),"Agricultural, Biological, and Food Sciences 2014"
"Food Security, Poverty and Nutrition Policy Analysis (Second Edition)","Agricultural, Biological, and Food Sciences 2014"
Biotechnology and Biology of Trichoderma,"Biochemistry, Genetics and Molecular Biology 2014"
Nature-Inspired Optimization Algorithms,Computer Science 2014
Introduction to Audio Analysis,Engineering 2014
Structural and Stress Analysis (Third Edition),Engineering 2014
"Subsea Pipeline Design, Analysis, and Installation",Engineering 2014
Global Sustainable Communities Handbook,Engineering 2014
Nanotechnology and Nanomaterials in the Treatment of Life-Threatening Diseases,Engineering 2014
Differential Forms (Second Edition),Mathematics 2014
Aminoff's Neurology and General Medicine (Fifth Edition),Neuroscience 2014
Behavioral Addictions,Psychology 2014
Neurologic Aspects of Systemic Disease Part I,Neuroscience 2014
Neurologic Aspects of Systemic Disease Part II,Neuroscience 2014
Neurologic Aspects of Systemic Disease Part III,Neuroscience 2014
"Emerging Technologies and Management of Crop Stress Tolerance, Volume 1","Agricultural, Biological, and Food Sciences 2014"
Biotechnology Entrepreneurship,"Biochemistry, Genetics and Molecular Biology 2014"
Integrative Anatomy and Pathophysiology in TCM Cardiology,Biomedical Science and Medicine 2014
Chemistry of Advanced Environmental Purification Processes of Water,Chemical Engineering 2014
Social Engineering Penetration Testing,Computer Science 2014
Fluid Flow Measurement (Third Edition),Engineering 2014
The Microeconomics of Complex Economies,Finance 2014
Safeguarding Cultural Properties,"Forensics, Security, and Criminal Justice 2014"
Implementing a Gender-Based Arts Program for Juvenile Offenders,"Forensics, Security, and Criminal Justice 2014"
Postmortem Fingerprinting and Unidentified Human Remains,"Forensics, Security, and Criminal Justice 2014"
Evaluating Police Tactics,"Forensics, Security, and Criminal Justice 2014"
A Pharmacology Primer (Fourth Edition),"Pharmacology, Toxicology and Pharmaceutical Science 2014"
Demystifying the Institutional Repository for Success,Social Sciences 2014
Concepts and Advances in Information Knowledge Management,Social Sciences 2014
Clinical Neuroendocrinology,Neuroscience 2014
24th European Symposium on Computer Aided Process Engineering,Chemical Engineering 2014
The Parathyroids (Third Edition),Biomedical Science and Medicine 2014
Light Trapping in Solar Cell and Photo-Detector Devices,Energy 2014
Thorp and Covich's Freshwater Invertebrates (Fourth Edition),Environmental Science 2014
Information Governance and Security,"Forensics, Security, and Criminal Justice 2014"
Numerical Linear Algebra with Applications,Mathematics 2014
Punción seca de los puntos gatillo,Spanish Medical Collection 2014
Gestión clínica,Spanish Medical Collection 2014
Estimulación magnética transcraneal y neuromodulación,Spanish Medical Collection 2014
Tratado de enfermería Neurológica (Terceira Edição),Spanish Medical Collection 2014
Farreras-Rozman. Medicina Interna. Metabolismo y Nutrición. Endocrinología (Décimo sétimo Edição),Spanish Medical Collection 2014
Neoplasias mieloproliferativas,Spanish Medical Collection 2014
Public Health Mini-Guides: Obesity,Health Professions 2014
Constitutional Facial Acupuncture,Health Professions 2014
Handbook of Nitrous Oxide and Oxygen Sedation (Fourth Edition),Health Professions 2014
Principles and Practice of Pediatric Sleep Medicine (Second Edition),Specialty Medicine 2014
The Molecular Basis of Cancer (Fourth Edition),Specialty Medicine 2014
Kidney Transplantation–Principles and Practice (Seventh Edition),Specialty Medicine 2014
Pediatric Endocrinology (Fourth Edition),Specialty Medicine 2014
"{Studies in Natural Products Chemistry, Volume 43}",Chemistry 2014
Pathologie Tumorale Rénale,Elsevier Masson French Health Sciences Collection 2014
Begutachtung chronischer Schmerzen,German Medical Collection 2014
Basis Ops–Orthopädische Chirurgie,German Medical Collection 2014
Métodos educativos en salud,Spanish Medical Collection 2014
Biomecánica y arquitectura corneal,Spanish Medical Collection 2014
Offshore Wind (Second Edition),Energy 2014
"Advances in Hydrogen Production, Storage and Distribution",Energy 2014
Academic Press Library in Mobile and Wireless Communications,Engineering 2014
The Boundary Element Method for Plate Analysis,Engineering 2014
High Performance Polymers (Second Edition),Engineering 2014
Food Plant Safety,"Agricultural, Biological, and Food Sciences 2014"
Dimensional Analysis,Chemical Engineering 2014
Starch Polymers,Chemical Engineering 2014
Colloidal Foundations of Nanoscience,Chemical Engineering 2014
Eye Tracking in User Experience Design,Computer Science 2014
Process Modeling Style,Computer Science 2014
Reliability Prediction from Burn-In Data Fit to Reliability Models,Engineering 2014
From an Antagonistic to a Synergistic Predator Prey Perspective,Environmental Science 2014
Windows Forensic Analysis Toolkit (Fourth Edition),"Forensics, Security, and Criminal Justice 2014"
The Manager's Handbook for Business Security (Second Edition),"Forensics, Security, and Criminal Justice 2014"
Nanosensors for Chemical and Biological Applications,Materials Science 2014
Handbook of Smart Coatings for Materials Protection,Materials Science 2014
Biomedical Foams for Tissue Engineering Applications,Materials Science 2014
Effective Dynamics of Stochastic Partial Differential Equations,Mathematics 2014
The Role of 5-HT Systems on Memory and Dysfunctional Memory,Neuroscience 2014
Radioprotection en milieu médical (3ème édition),Elsevier Masson French Health Sciences Collection 2014
Topographie cornéenne (2ème édition),Elsevier Masson French Health Sciences Collection 2014
Infiltraciones Ecoguiadas en Patología Musculoesquelética,Spanish Medical Collection 2014
Investigación cualitativa,Spanish Medical Collection 2014
Daniels y Worthingham. Técnicas de balance muscular (9a ed.),Spanish Medical Collection 2014
Aplicación del análisis coste-efectividad de los medicamentos y los programas de salud en la planificación sanitaria,Spanish Medical Collection 2014
Natural Resource Administration,"Agricultural, Biological, and Food Sciences 2014"
Governing Nano Foods: Principles-Based Responsive Regulation,"Agricultural, Biological, and Food Sciences 2014"
Experiments in the Purification and Characterization of Enzymes,"Biochemistry, Genetics and Molecular Biology 2014"
Geological Storage of Carbon Dioxide (co2),Engineering 2014
Security Careers (Third Edition),"Forensics, Security, and Criminal Justice 2014"
Death Investigation,"Forensics, Security, and Criminal Justice 2014"
Biomaterials for Cancer Therapeutics,Materials Science 2014
The Synapse,Neuroscience 2014
Imaging of the Human Brain in Health and Disease,Neuroscience 2014
Cancer Drug Design and Discovery (Second Edition),"Pharmacology, Toxicology and Pharmaceutical Science 2014"
Lead Compounds from Medicinal Plants for the Treatment of Neurodegenerative Diseases,"Pharmacology, Toxicology and Pharmaceutical Science 2014"
Handbook of Nanosafety,"Pharmacology, Toxicology and Pharmaceutical Science 2014"
The Exposome,"Pharmacology, Toxicology and Pharmaceutical Science 2014"
"International Cooperation, Convergence and Harmonization of Pharmaceutical Regulations","Pharmacology, Toxicology and Pharmaceutical Science 2014"
Mold-making Handbook (Third Edition),Plastics Engineering Hanser 2014
Resistance and Stability of Polymers,Plastics Engineering Hanser 2014
Religion in Personality Theory,Psychology 2014
Human Memory: A Constructivist View,Psychology 2014
Identification of Neural Markers Accompanying Memory,Psychology 2014
Visual Masking,Psychology 2014
Information Literacy and Lifelong Learning,Social Sciences 2014
Postharvest Decay,"Agricultural, Biological, and Food Sciences 2014"
Bioinformatics for Beginners,"Biochemistry, Genetics and Molecular Biology 2014"
Post-Genomic Cardiology (Second Edition),Biomedical Science and Medicine 2014
Natural Gas Processing,Energy 2014
Renewable Energy System Design,Energy 2014
Power System Small Signal Stability Analysis and Control,Engineering 2014
Computational Modelling of Biomechanics and Biotribology in the Musculoskeletal System,Engineering 2014
Power Recovery from Low Grade Heat by Means of Screw Expanders (Second Edition),Engineering 2014
Transport Properties of Concrete,Engineering 2014
Practical Program Evaluation for Criminal Justice,"Forensics, Security, and Criminal Justice 2014"
Emerging Infectious Diseases,Immunology and Microbiology 2014
Biological Identification,Materials Science 2014
Quantum Information Processing with Diamond,Materials Science 2014
Perspectives in Total Hip Arthroplasty,Materials Science 2014
Working with Dynamic Crop Models (Second Edition),"Agricultural, Biological, and Food Sciences 2014"
"Antioxidants in Food, Vitamins and Supplements",Biomedical Science and Medicine 2014
The Role of Colloidal Systems in Environmental Protection,Chemical Engineering 2014
Geophysical Exploration Technology,Earth and Planetary Sciences 2014
Sustainability in Engineering Design,Engineering 2014
Signals and Systems Using MATLAB (Second Edition),Engineering 2014
Architectural Acoustics (Second Edition),Engineering 2014
Real-Time UML Workshop for Embedded Systems (Second Edition),Engineering 2014
Principles of Modern Grinding Technology (Second Edition),Engineering 2014
Nanofluidics and Microfluidics,Engineering 2014
An Introduction to the Mathematics of Financial Derivatives (Third Edition),Finance 2014
"Autophagy: Cancer, Other Pathologies, Inflammation, Immunity, Infection, and Aging",Immunology and Microbiology 2014
Sintering: from Empirical Observations to Scientific Principles,Materials Science 2014
Exposure Science,"Pharmacology, Toxicology and Pharmaceutical Science 2014"
Bibliographic Information Organization in the Semantic Web,Social Sciences 2014
Optimizing Academic Library Services in the Digital Milieu,Social Sciences 2014
Whisky (Second Edition),"Agricultural, Biological, and Food Sciences 2014"
Human Milk Biochemistry and Infant Formula Manufacturing Technology,"Agricultural, Biological, and Food Sciences 2014"
Heart and Toxins,Biomedical Science and Medicine 2014
Building an Information Security Awareness Program,Computer Science 2014
Service Orchestration As Organization,Computer Science 2014
Corrosion Control for Offshore Structures,Energy 2014
Accelerated Bridge Construction,Engineering 2014
Technology Entrepreneurship (Second Edition),Engineering 2014
Rare Earth-Based Corrosion Inhibitors,Engineering 2014
"Handbook of Solvents (Second Edition), Volume 1",Engineering 2014
"Handbook of Solvents (Second Edition), Volume 2",Engineering 2014
Stiehm's Immune Deficiencies,Immunology and Microbiology 2014
Porous Materials,Materials Science 2014
Processing and Impact on Antioxidants in Beverages,"Agricultural, Biological, and Food Sciences 2014"
Postharvest Handling (Third Edition),"Agricultural, Biological, and Food Sciences 2014"
Origin and Phylogeny of Rices,"Agricultural, Biological, and Food Sciences 2014"
"Handbook of Nutrition, Diet and the Eye",Biomedical Science and Medicine 2014
Essential Treatments in Cardiovascular Chinese Medicine,Biomedical Science and Medicine 2014
Diagnosing in Cardiovascular Chinese Medicine,Biomedical Science and Medicine 2014
Hematology in Traditional Chinese Medicine Cardiology,Biomedical Science and Medicine 2014
The Organic Chemistry of Drug Design and Drug Action (Third Edition),Chemistry 2014
Collaboration with Cloud Computing,Computer Science 2014
Targeted Cyber Attacks,Computer Science 2014
Membranes for Clean and Renewable Power Applications,Energy 2014
PIC Microcontroller Projects in C (Second Edition),Engineering 2014
From Machine-To-Machine to the Internet of Things,Engineering 2014
An Introduction to MATLAB® Programming and Numerical Methods for Engineers,Engineering 2014
Biomolecular Electronics,Engineering 2014
Brain Metastases from Primary Tumors,Neuroscience 2014
Inside China's Legal System,Social Sciences 2014
Social Media Audits,Social Sciences 2014
Klinikleitfaden Pädiatrie (9. Auflage),German Medical Collection 2014
Esthetics and Biomechanics in Orthodontics (Second Edition),Health Professions 2014
Proceedings of the 8th International Conference on Foundations of Computer-Aided Process Design,Chemical Engineering 2014
Integrative Cardiovascular Chinese Medicine,Biomedical Science and Medicine 2014
Organic Chemistry,Chemistry 2014
Software Defined Networks,Computer Science 2014
Bridging UX and Web Development,Computer Science 2014
Cloud Networking,Computer Science 2014
Encyclopedia of the Solar System (Third Edition),Earth and Planetary Sciences 2014
Natural Resources in Afghanistan,Earth and Planetary Sciences 2014
Towards Sustainable Road Transport,Energy 2014
Coastal Disasters and Climate Change in Vietnam,Engineering 2014
Nanotechnology Environmental Health and Safety (Second Edition),Engineering 2014
Tissue Engineering Using Ceramics and Polymers (Second Edition),Materials Science 2014
Biomaterials for Bone Regeneration,Materials Science 2014
Soil Remediation and Plants,"Agricultural, Biological, and Food Sciences 2014"
Principles of Developmental Genetics (Second Edition),"Biochemistry, Genetics and Molecular Biology 2014"
Transporters in Drug Discovery and Development,"Biochemistry, Genetics and Molecular Biology 2014"
Chesley's Hypertensive Disorders in Pregnancy (Fourth Edition),Biomedical Science and Medicine 2014
Bone Cancer (Second Edition),Biomedical Science and Medicine 2014
Dentine Hypersensitivity,Biomedical Science and Medicine 2014
Entropic Invariants of Two-Phase Flows,Chemical Engineering 2014
Biorefineries,Chemical Engineering 2014
Biophysical Characterization of Proteins in Developing Biopharmaceuticals,Chemical Engineering 2014
Windows Performance Analysis Field Guide,Computer Science 2014
Hacking and Penetration Testing with Low Power Devices,Computer Science 2014
Information Hiding in Speech Signal for Secure Communication,Computer Science 2014
Enterprise Business Intelligence and Data Management,Computer Science 2014
Experiments in Reduced Gravity,Earth and Planetary Sciences 2014
Practical and Applied Hydrogeology,Earth and Planetary Sciences 2014
Irradiation Embrittlement of Reactor Pressure Vessels (RPVs) in Nuclear Power Plants,Energy 2014
Offshore Operation Facilities,Engineering 2014
Soil Improvement and Ground Modification Methods,Engineering 2014
Performance Measurement and Management for Engineers,Engineering 2014
Flexible Packaging,Engineering 2014
Micro and Nanofabrication Using Self-Assembled Biological Nanostructures,Engineering 2014
Safety and Security Review for the Process Industries (Fourth Edition),Engineering 2014
Sittig's Handbook of Pesticides and Agricultural Chemicals (Second Edition),Engineering 2014
Proceedings of the 1st International Joint Symposium on Joining and Welding,Engineering 2014
Recent Developments in Cavitation Mechanisms,Materials Science 2014
Raw Materials Supply Chain for Rubber Products,Plastics Engineering Hanser 2014
After the Book,Social Sciences 2014
Six Key Communication Skills for Records and Information Managers,Social Sciences 2014
Academic Press Library in signal Processing,Engineering 2014
Sturkie's Avian Physiology (Sixth Edition),"Agricultural, Biological, and Food Sciences 2014"
Celiac Disease and Gluten,Biomedical Science and Medicine 2014
Seals and Sealing Handbook (Sixth Edition),Chemical Engineering 2014
Thermophysical Properties of Chemicals and Hydrocarbons (Second Edition),Chemical Engineering 2014
Assessment of Vulnerability to Natural Hazards,Earth and Planetary Sciences 2014
Coal Bed Methane,Earth and Planetary Sciences 2014
Wireless Receiver Architectures and Design,Engineering 2014
Body Area Networks Using IEEE 802.15.6,Engineering 2014
Learning from Failures,Engineering 2014
Integrated Nanophotonic Devices (Second Edition),Engineering 2014
Transport Properties of Chemicals and Hydrocarbons (Second Edition),Engineering 2014
Microbial Biodegradation and Bioremediation,Environmental Science 2014
Commingled Human Remains,"Forensics, Security, and Criminal Justice 2014"
Safeguarding Intangible Assets,"Forensics, Security, and Criminal Justice 2014"
The Rat Nervous System (Fourth Edition),Neuroscience 2014
The Stimulated Brain,Neuroscience 2014
"Biased Signaling in Physiology, Pharmacology and Therapeutics","Pharmacology, Toxicology and Pharmaceutical Science 2014"
An Introduction to Aquatic Toxicology,"Pharmacology, Toxicology and Pharmaceutical Science 2014"
Biochemical Ecotoxicology,"Pharmacology, Toxicology and Pharmaceutical Science 2014"
Alkyl Polyglucosides,"Pharmacology, Toxicology and Pharmaceutical Science 2014"
Uncommon Paths in Quantum Physics,Physics and Astronomy 2014
Three-Dimensional Molded Interconnect Devices (3D-MID),Plastics Engineering Hanser 2014
Diagnostics of Extrusion Processes,Plastics Engineering Hanser 2014
Laboratory Experiments in the Social Sciences (Second Edition),Psychology 2014
Social Cognition and Metacognition in Schizophrenia,Psychology 2014
Mindfulness-Based Treatment Approaches (Second Edition),Psychology 2014
Epigenetics in Psychiatry,Psychology 2014
Digital Asset Ecosystems,Social Sciences 2014
Making Sense of Space,Social Sciences 2014
The Changing Landscape of China’s Consumerism,Social Sciences 2014
The Future of the Academic Journal (Second Edition),Social Sciences 2014
Process Heat Transfer (Second Edition),Chemical Engineering 2014
Direct Methane to Methanol,Chemical Engineering 2014
Quotient Space Based Problem Solving,Computer Science 2014
